#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
300,Hector Rondon,ARI,RP,R,22.2,0.0,0.0,85.8,20.0,0.9,1.0,0,4,4.30,3.54,1.34,19.0,7.2,19.6,0.8,9.6,10.3,3,44.7,31.5,21.1,0.303
301,Tanner Rainey,WSH,RP,R,22.2,0.0,0.0,87.8,20.0,1.0,0.9,0,3,3.84,3.72,1.43,25.8,12.7,15.8,1.0,8.6,9.4,2,42.8,33.8,20.7,0.294
302,Brandon Kintzler,MIA,RP,R,22.2,0.0,0.0,86.5,20.0,0.9,1.0,6,3,4.20,3.90,1.38,15.1,6.3,21.2,1.0,9.2,10.1,2,49.5,27.9,19.9,0.303
303,Zack Littell,MIN,RP,R,15.0,0.0,0.0,83.2,19.5,1.1,0.8,0,1,4.16,3.51,1.30,19.2,6.7,18.6,0.9,9.3,10.0,3,43.5,35.7,20.8,0.294
304,Drew Pomeranz,SD,RP,L,24.0,0.0,0.0,80.5,19.2,1.0,0.9,0,4,3.58,3.06,1.21,22.4,7.1,16.2,0.7,7.6,8.2,2,40.8,36.2,20.3,0.292
305,Jose Álvarez,PHI,RP,L,24.0,0.0,0.0,82.8,19.2,0.9,0.9,0,5,4.24,3.81,1.35,17.0,6.6,19.4,0.7,9.1,9.9,3,45.2,32.3,19.9,0.294
306,Rowan Wick,CHC,RP,R,24.0,0.0,0.0,83.3,19.2,0.9,0.9,0,4,4.19,3.76,1.40,19.0,9.1,17.8,0.8,9.1,9.8,2,44.9,31.7,20.7,0.296
307,Chaz Roe,TB,RP,R,24.0,0.0,0.0,82.8,19.2,1.0,0.9,0,5,4.04,3.58,1.33,20.5,8.2,17.3,1.0,8.7,9.4,2,45.3,34.2,20.5,0.295
308,Hector Neris,PHI,RP,R,21.2,0.0,0.0,80.6,19.1,0.9,0.9,8,0,4.03,3.07,1.23,22.9,7.0,16.6,0.9,8.6,9.2,3,38.0,39.4,19.9,0.285
309,Matt Andriese,LAA,SP,R,10.8,1.8,0.7,80.8,18.9,1.1,1.0,0,1,4.37,3.73,1.31,17.0,6.2,18.6,0.7,9.2,9.9,3,44.8,35.1,20.0,0.293
310,Brent Suter,MIL,RP,L,12.6,0.6,0.3,79.9,18.8,0.9,1.0,0,2,4.33,3.58,1.28,16.4,4.9,19.2,0.7,9.1,9.8,3,39.9,36.7,20.7,0.294
311,Randy Dobnak,MIN,RP,R,13.2,1.2,0.5,81.1,18.8,1.1,0.9,0,1,4.44,3.88,1.36,13.7,5.1,20.4,0.8,9.5,10.3,3,50.1,29.1,20.8,0.302
312,Ryan Brasier,BOS,RP,R,18.6,0.0,0.0,79.4,18.6,1.0,0.8,0,3,4.19,3.47,1.27,19.7,6.2,17.5,0.8,8.9,9.5,3,38.1,40.7,21.2,0.291
313,David McKay,DET,RP,R,18.6,0.0,0.0,82.1,18.6,0.9,0.9,0,2,4.76,3.83,1.44,19.9,9.6,17.3,1.1,9.8,10.4,3,39.1,40.2,20.7,0.294
314,Jeff Brigham,MIA,RP,R,18.6,0.0,0.0,80.0,18.6,0.8,1.0,0,3,4.43,3.70,1.33,18.0,7.0,17.7,0.9,9.1,9.7,3,35.6,41.8,19.9,0.286
315,Jeremy Jeffress,CHC,RP,R,18.6,0.0,0.0,80.8,18.6,0.9,0.9,0,3,4.26,3.75,1.42,15.5,7.5,18.9,0.8,8.9,9.7,2,50.0,26.6,20.7,0.305
316,Hunter Harvey,BAL,RP,R,18.5,0.0,0.0,79.7,18.5,0.9,0.9,1,4,4.55,3.52,1.35,19.3,7.5,17.5,0.9,9.2,9.9,3,41.0,38.4,20.6,0.292
317,Darwinzon Hernandez,BOS,RP,L,18.5,0.0,0.0,81.3,18.5,1.0,0.8,0,3,3.85,3.75,1.41,24.2,11.7,14.4,1.3,8.1,8.8,2,42.7,36.1,21.2,0.289
318,Oliver Drake,TB,RP,R,16.8,0.0,0.0,77.2,18.5,1.0,0.8,0,3,3.42,3.03,1.20,21.4,6.5,15.8,0.6,7.1,7.8,2,47.1,32.4,20.5,0.295
319,Ryan Tepera,CHC,RP,R,20.4,0.0,0.0,80.5,18.4,0.9,0.9,0,3,4.61,3.94,1.42,16.3,7.8,18.3,1.0,9.6,10.2,3,42.3,34.3,20.7,0.294
320,Yimi Garcia,MIA,RP,R,20.4,0.0,0.0,79.7,18.4,0.8,1.0,0,3,4.73,3.86,1.32,16.9,5.9,18.5,1.0,9.6,10.2,3,32.6,44.8,19.9,0.286
321,Chris Devenski,HOU,RP,R,20.4,0.0,0.0,78.2,18.4,1.0,0.8,0,3,4.26,3.36,1.24,19.9,6.0,16.9,0.8,8.9,9.5,3,36.3,43.6,20.1,0.287
322,Paul Fry,BAL,RP,L,20.4,0.0,0.0,80.7,18.4,0.9,0.9,1,3,4.34,3.79,1.45,17.6,8.8,17.9,1.1,8.8,9.5,2,51.2,28.3,20.6,0.304
323,Wade Davis,COL,RP,R,20.4,0.0,0.0,82.9,18.4,0.8,1.0,4,3,5.25,4.26,1.54,16.9,9.4,18.9,0.8,10.8,11.5,3,38.6,36.7,22.0,0.302
324,Andrew Suarez,SF,RP,L,10.2,1.2,0.5,79.0,18.3,0.8,1.1,0,1,4.35,4.05,1.37,13.7,6.1,19.0,0.7,8.6,9.4,2,46.8,30.4,20.1,0.298
325,Bryan Garcia,DET,RP,R,18.0,0.0,0.0,79.5,18.0,0.8,0.9,0,2,4.86,4.04,1.47,17.0,8.6,17.8,0.7,9.7,10.3,3,42.4,36.9,20.7,0.297
326,Chance Adams,KC,RP,R,9.0,0.0,0.0,79.4,18.0,0.8,0.9,0,1,4.91,4.18,1.44,16.1,8.2,17.8,0.9,9.7,10.4,3,39.2,40.1,20.7,0.288
327,Josh Tomlin,ATL,RP,R,15.0,0.0,0.0,77.7,18.0,0.8,0.9,0,2,4.98,4.02,1.31,13.1,2.5,21.1,0.6,10.0,10.6,4,37.2,39.1,21.0,0.297
328,Justin Wilson,NYM,RP,L,22.2,0.0,0.0,75.7,17.8,0.9,0.8,0,4,3.84,3.30,1.32,20.4,8.2,15.3,0.6,7.6,8.2,2,42.4,34.8,20.2,0.295
329,Aaron Bummer,CHW,RP,L,22.2,0.0,0.0,75.2,17.8,1.0,0.7,1,6,3.43,3.11,1.31,18.6,7.3,15.9,0.7,6.8,7.5,2,57.4,22.5,20.1,0.306
330,Trevor May,MIN,RP,R,22.2,0.0,0.0,75.7,17.8,1.0,0.8,0,4,4.03,3.21,1.27,21.0,7.0,15.5,0.8,8.2,8.7,3,38.1,41.0,20.8,0.292
331,Dustin May,LAD,SP,R,8.0,2.0,0.9,74.4,17.6,1.1,0.9,0,1,3.85,3.49,1.25,15.0,4.8,17.2,1.1,7.6,8.3,2,50.6,27.0,19.8,0.295
332,J.B. Wendelken,OAK,RP,R,13.2,0.0,0.0,74.2,17.2,0.9,0.8,0,1,4.28,3.71,1.35,17.0,7.2,16.0,0.7,8.3,8.9,2,41.1,38.5,20.4,0.291
333,Hunter Wood,CLE,RP,R,13.2,0.0,0.0,73.7,17.2,0.9,0.8,0,2,4.30,3.62,1.29,17.1,5.7,16.4,0.6,8.4,9.0,3,38.9,40.4,20.7,0.287
334,Casey Mize,DET,SP,R,3.0,3.0,1.3,75.1,17.1,0.9,1.2,0,0,5.25,4.29,1.43,13.0,5.6,18.8,0.9,9.9,10.6,3,42.7,36.6,20.7,0.297
335,Brett Martin,TEX,RP,L,17.0,0.0,0.0,71.6,17.0,0.9,0.7,0,3,3.76,3.26,1.29,16.5,6.1,15.8,0.6,7.0,7.7,2,49.7,29.8,20.5,0.299
336,Andrew Chafin,ARI,RP,L,24.0,0.0,0.0,71.7,16.8,0.9,0.8,0,5,3.73,3.40,1.33,17.7,7.2,15.1,0.7,7.0,7.6,2,47.0,29.2,21.1,0.301
337,Adam Conley,MIA,RP,L,16.8,0.0,0.0,73.0,16.8,0.7,0.9,0,3,4.45,3.97,1.38,14.7,6.5,16.7,0.8,8.2,8.8,3,38.8,38.6,19.9,0.290
338,Duane Underwood Jr.,CHC,RP,R,16.8,0.0,0.0,72.5,16.8,0.8,0.8,0,2,4.26,3.70,1.36,15.8,6.8,16.1,0.8,8.1,8.7,2,44.2,32.4,20.7,0.295
339,Oliver Perez,CLE,RP,L,24.0,0.0,0.0,71.5,16.8,0.9,0.7,0,5,3.99,3.33,1.24,18.2,5.6,15.3,1.0,7.6,8.2,2,39.3,40.0,20.7,0.289
340,Ryne Stanek,MIA,RP,R,24.0,0.0,0.0,71.1,16.8,0.8,0.8,2,5,3.78,3.23,1.26,20.2,7.2,14.0,0.5,7.0,7.5,2,35.9,41.5,19.9,0.286
341,Darren O’Day,ATL,RP,R,16.8,0.0,0.0,72.4,16.8,0.8,0.8,0,2,4.23,3.60,1.30,17.8,6.1,15.8,0.8,7.9,8.5,3,38.0,38.3,21.0,0.291
342,Jake Diekman,OAK,RP,L,24.0,0.0,0.0,71.7,16.8,1.0,0.7,0,6,3.54,3.30,1.32,19.7,8.6,13.5,1.1,6.7,7.3,2,46.9,32.7,20.4,0.293
343,Jordan Romano,TOR,RP,R,16.8,0.0,0.0,72.6,16.8,0.8,0.8,0,3,4.62,3.63,1.32,16.8,6.1,16.1,1.0,8.6,9.2,3,39.3,40.2,20.4,0.288
344,David Phelps,MIL,RP,R,16.8,0.0,0.0,73.5,16.8,0.8,0.8,0,3,4.56,3.80,1.42,16.6,7.6,16.3,0.6,8.6,9.2,3,40.8,35.9,20.7,0.298
345,Jonathan Hernandez,TEX,RP,R,12.0,0.0,0.0,72.9,16.8,0.9,0.8,0,1,4.27,3.73,1.40,16.5,7.8,15.8,0.7,7.9,8.5,2,47.4,32.1,20.5,0.298
346,Bryan Abreu,HOU,RP,R,16.8,0.0,0.0,73.0,16.8,0.9,0.7,0,2,4.01,3.59,1.37,20.5,9.0,13.9,0.8,7.7,8.3,2,43.0,36.9,20.1,0.292
347,Framber Valdez,HOU,SP,L,7.8,1.8,0.9,71.2,16.8,1.2,0.7,0,1,3.42,3.22,1.33,18.4,7.9,14.4,0.9,6.6,7.3,1,58.0,21.9,20.1,0.306
348,Chris Martin,ATL,RP,R,18.6,0.0,0.0,68.8,16.7,0.9,0.7,0,4,3.47,2.84,1.15,18.0,3.5,15.6,0.6,6.5,7.0,2,45.6,30.7,21.0,0.301
349,Tyler Clippard,MIN,RP,R,18.6,0.0,0.0,73.0,16.7,0.8,0.8,0,3,4.90,3.94,1.34,17.0,6.1,16.2,0.8,9.3,9.8,3,28.8,50.4,20.8,0.281
350,Kelvin Herrera,CHW,RP,R,18.6,0.0,0.0,71.8,16.7,0.8,0.8,0,3,4.55,3.59,1.31,16.6,5.7,16.2,0.6,8.4,9.0,3,41.1,38.8,20.1,0.293
351,Jesse Hahn,KC,SP,R,9.0,1.8,0.8,72.0,16.6,0.9,0.9,0,1,4.57,3.99,1.42,13.6,6.7,16.9,0.6,8.3,9.0,2,48.3,31.0,20.7,0.302
352,Brad Wieck,CHC,RP,L,20.4,0.0,0.0,69.3,16.3,0.9,0.7,0,3,3.76,3.16,1.27,20.2,7.4,13.4,0.7,6.9,7.4,2,36.9,39.7,20.7,0.288
353,Brad Boxberger,MIA,RP,R,18.0,0.0,0.0,72.2,16.2,0.7,0.9,0,3,4.78,4.29,1.50,15.3,8.5,15.7,0.7,8.5,9.1,2,39.9,37.5,19.9,0.292
354,Casey Sadler,CHC,RP,R,9.0,0.0,0.0,69.4,16.2,0.8,0.8,0,1,4.17,3.63,1.32,14.1,5.2,16.3,0.8,7.6,8.2,2,46.0,30.6,20.7,0.298
355,Dereck Rodriguez,SF,RP,R,9.0,0.0,0.0,69.6,16.2,0.7,0.9,0,1,4.48,3.93,1.32,12.8,4.8,16.6,0.7,7.9,8.5,2,40.9,36.3,20.1,0.293
356,Jose Alvarado,TB,RP,L,18.0,0.0,0.0,68.4,16.2,0.9,0.7,1,3,3.24,3.18,1.27,20.5,7.9,12.7,0.5,5.9,6.5,2,47.8,31.7,20.5,0.296
357,David Hale,NYY,RP,R,9.0,0.0,0.0,70.1,16.2,0.8,0.8,0,1,4.73,3.82,1.36,12.9,4.5,17.5,0.7,8.6,9.3,3,46.3,33.7,20.1,0.297
358,Aroldis Chapman,NYY,RP,L,17.5,0.0,0.0,64.4,15.8,1.0,0.6,8,0,2.99,2.39,1.11,22.9,6.4,11.1,0.6,5.3,5.8,2,43.7,36.3,20.1,0.287
359,Yoshihisa Hirano,SEA,RP,R,17.5,0.0,0.0,69.1,15.8,0.7,0.8,2,3,4.68,3.99,1.41,14.1,6.4,15.9,0.6,8.1,8.7,3,43.2,36.8,20.0,0.295
360,Cal Quantrill,SD,SP,R,5.4,1.8,0.7,67.6,15.7,0.8,0.9,0,0,4.50,3.96,1.33,12.7,4.8,16.1,0.6,7.8,8.4,2,43.9,33.1,20.3,0.296
