Name,R,HR,RBI,SB,AVG,Ovr,group
Jose Altuve,99.7,23.9,92.0,11.7,0.29600000000000004,41.6,8
Ozzie Albies,94.1,24.4,82.2,13.9,0.28800000000000003,49.0,8
Gleyber Torres,91.2,36.2,110.4,6.9,0.272,56.8,17
Keston Hiura,89.3,30.5,87.6,13.5,0.271,58.8,8
Ketel Marte,97.3,23.4,76.0,8.8,0.29600000000000004,60.4,8
Jeff McNeil,86.1,19.4,68.3,9.0,0.28800000000000003,84.4,12
DJ LeMahieu,97.6,18.6,71.4,6.5,0.285,87.2,12
Whit Merrifield,89.1,13.6,61.7,23.1,0.282,93.6,12
Mike Moustakas,86.6,36.2,96.5,2.8,0.256,120.8,15
Tommy Edman,67.0,13.1,58.0,17.6,0.27399999999999997,126.8,3
Eduardo Escobar,81.8,24.8,80.5,4.1,0.257,130.4,15
Jonathan Villar,73.8,17.0,56.1,32.6,0.257,132.4,19
Hanser Alberto,70.7,12.6,60.4,5.9,0.28600000000000003,134.2,3
Kolten Wong,63.6,12.3,59.0,15.8,0.266,142.8,3
Kevin Newman,59.8,9.3,52.5,17.8,0.282,143.2,3
Cesar Hernandez,67.7,10.1,54.4,9.1,0.27699999999999997,144.2,3
Starlin Castro,61.5,16.4,68.4,3.2,0.28300000000000003,145.2,3
Ryan McMahon,60.6,18.7,66.9,4.8,0.268,146.6,3
Jonathan Schoop,67.2,26.4,76.7,2.3,0.262,152.2,13
Gavin Lux,55.8,14.8,59.9,8.0,0.266,158.0,3
Brandon Lowe,70.8,23.6,71.4,6.7,0.24600000000000002,159.0,13
Luis Arraez,68.6,5.8,54.1,5.3,0.312,165.0,2
Nick Madrigal,57.5,5.3,44.6,18.9,0.287,167.2,2
Michael Chavis,69.3,24.7,74.9,3.6,0.248,167.4,13
Adam Frazier,57.7,9.5,52.4,6.9,0.276,167.4,2
Max Muncy,89.4,29.8,78.3,3.6,0.239,171.0,18
David Fletcher,64.9,6.2,49.5,7.7,0.27899999999999997,172.4,2
Howie Kendrick,47.6,12.2,51.0,3.6,0.307,175.4,2
Niko Goodrum,68.7,17.7,66.9,12.7,0.24100000000000002,177.0,9
Cavan Biggio,77.7,20.6,69.4,12.9,0.23399999999999999,177.8,9
Mauricio Dubon,45.6,11.7,48.7,11.2,0.265,181.0,2
Nicky Lopez,59.6,6.5,47.5,9.1,0.272,182.4,2
Garrett Hampson,45.8,7.8,44.1,18.3,0.271,184.2,2
Rougned Odor,65.3,27.3,72.1,12.9,0.22899999999999998,185.2,9
Jose Peraza,47.1,6.5,36.4,9.9,0.28300000000000003,187.0,2
Tommy La Stella,60.5,13.5,51.2,2.1,0.275,194.0,5
Jurickson Profar,57.1,17.6,63.4,7.1,0.244,197.2,5
Shed Long,56.2,14.9,48.9,9.3,0.247,202.4,5
Robinson Cano,64.3,18.3,65.2,0.9,0.272,207.2,5
Luis Urias,55.1,13.4,56.8,4.3,0.251,212.8,5
Freddy Galvis,54.4,15.2,58.9,5.3,0.24100000000000002,229.4,14
Dee Gordon,36.8,3.0,27.3,16.6,0.27399999999999997,231.8,20
Eric Sogard,47.0,8.6,41.4,5.7,0.256,233.0,14
Isan Diaz,55.4,17.3,53.9,6.7,0.233,240.0,14
Asdrubal Cabrera,42.0,11.2,42.5,1.7,0.266,250.6,10
Joey Wendle,34.9,5.2,30.3,7.4,0.256,257.4,10
Scooter Gennett,37.3,9.9,40.8,1.7,0.261,267.4,10
Tony Kemp,30.0,3.7,22.8,6.1,0.261,281.0,6
Jason Kipnis,33.8,8.8,36.2,3.6,0.248,281.6,6
Franklin Barreto,40.5,11.0,35.0,5.9,0.23800000000000002,285.0,6
Wilmer Flores,29.6,9.5,33.2,0.8,0.281,288.4,6
Chris Taylor,35.0,7.8,34.8,4.5,0.243,290.0,6
Eduardo Nunez,20.6,5.1,23.6,4.0,0.26,301.0,0
Aledmys Diaz,26.5,7.0,26.0,1.6,0.261,310.4,0
Brian Dozier,32.2,11.6,35.2,3.4,0.23600000000000002,312.0,0
Enrique Hernandez,32.4,10.4,35.5,1.9,0.244,312.4,0
David Bote,30.6,8.4,31.9,3.2,0.24100000000000002,316.8,0
Joe Panik,25.0,4.3,21.3,2.0,0.265,318.4,0
Donovan Solano,25.3,3.4,22.0,1.5,0.276,320.6,0
Michael Brosseau,24.7,6.9,25.0,2.2,0.251,324.4,0
Sheldon Neuse,26.8,5.7,25.7,1.6,0.256,326.6,0
Adeiny Hechavarria,22.1,4.3,22.5,2.4,0.253,335.4,0
Chad Pinder,28.0,8.4,27.3,1.2,0.249,338.6,0
Yolmer Sanchez,22.1,3.0,21.1,3.2,0.249,344.4,0
Josh Harrison,18.7,4.4,19.8,2.9,0.245,356.4,7
Brock Holt,21.2,3.5,20.3,2.0,0.249,361.6,7
Brendan Rodgers,13.1,3.6,14.8,0.9,0.28,363.8,7
Ildemaro Vargas,12.5,1.9,11.8,1.2,0.28,379.8,7
Ty France,15.1,4.9,16.1,0.7,0.26,386.2,1
Ronny Rodriguez,12.7,4.3,14.7,1.7,0.247,391.4,1
Hernan Perez,12.0,3.3,13.0,2.4,0.248,393.2,1
Marco Hernandez,12.0,1.4,10.3,1.7,0.268,394.2,1
Greg Garcia,23.0,2.8,19.2,1.9,0.24100000000000002,397.6,1
Jed Lowrie,28.7,7.3,29.4,0.7,0.23600000000000002,398.0,1
Luis Rengifo,13.3,2.3,11.3,2.7,0.248,399.2,1
Harold Castro,11.5,1.6,10.6,1.6,0.264,401.0,1
Daniel Descalso,24.6,5.3,22.6,1.9,0.21600000000000003,408.2,1
Kyle Farmer,16.8,4.0,18.0,2.0,0.23600000000000002,408.4,1
Domingo Leyba,13.0,2.8,13.2,0.8,0.258,414.8,1
Santiago Espinal,8.9,1.2,7.8,1.5,0.253,445.4,4
Dustin Pedroia,8.9,1.4,8.0,0.7,0.265,453.6,4
Daniel Robertson,14.4,2.6,12.2,1.2,0.237,458.4,4
Addison Russell,9.0,2.4,9.2,0.6,0.25,466.6,4
Chris Owings,6.8,1.5,7.0,1.6,0.247,470.8,4
Breyvic Valera,7.2,1.1,6.1,1.1,0.255,478.6,4
Derek Dietrich,9.4,2.9,9.3,0.4,0.23800000000000002,504.2,21
Robel Garcia,7.9,3.1,8.5,0.6,0.222,527.2,16
Devon Travis,2.6,0.6,2.5,0.3,0.263,543.8,16
Gordon Beckham,5.7,1.2,5.3,0.6,0.231,573.2,22
Phil Gosselin,1.5,0.3,1.5,0.1,0.247,603.0,11
Mike Freeman,1.6,0.2,1.4,0.2,0.242,616.0,11
Jace Peterson,1.0,0.2,0.9,0.2,0.242,619.2,11
Laz Rivera,0.5,0.1,0.5,0.1,0.244,622.6,11
