Name,R,HR,RBI,SB,AVG,Ovr,group
Rafael Devers,105.4,33.1,107.8,9.6,0.299,26.0,11
Jose Ramirez,94.9,30.9,102.1,23.7,0.27699999999999997,31.6,11
Alex Bregman,110.5,33.7,111.9,6.6,0.287,38.6,6
Nolan Arenado,107.8,39.2,109.1,3.4,0.29600000000000004,52.4,6
Manny Machado,95.3,36.5,95.2,6.5,0.272,63.0,7
Yoan Moncada,98.2,27.7,81.9,12.0,0.267,67.8,10
Anthony Rendon,90.3,28.0,100.1,4.1,0.284,70.4,7
Josh Donaldson,96.4,36.0,111.1,4.1,0.268,75.2,7
Kris Bryant,105.0,30.8,82.2,4.3,0.27399999999999997,79.2,10
Yuli Gurriel,82.7,23.3,93.1,4.8,0.28800000000000003,81.4,7
Jeff McNeil,86.1,19.4,68.3,9.0,0.28800000000000003,84.4,21
Vladimir Guerrero Jr.,84.2,25.4,94.7,3.0,0.294,86.4,7
Justin Turner,89.4,25.0,82.1,2.5,0.281,104.8,20
Matt Chapman,93.9,34.6,97.8,2.7,0.257,117.6,8
Mike Moustakas,86.6,36.2,96.5,2.8,0.256,120.8,8
Tommy Edman,67.0,13.1,58.0,17.6,0.27399999999999997,126.8,12
Eugenio Suarez,88.1,33.3,85.4,3.2,0.252,129.2,8
Eduardo Escobar,81.8,24.8,80.5,4.1,0.257,130.4,8
Hanser Alberto,70.7,12.6,60.4,5.9,0.28600000000000003,134.2,12
Starlin Castro,61.5,16.4,68.4,3.2,0.28300000000000003,145.2,4
Ryan McMahon,60.6,18.7,66.9,4.8,0.268,146.6,4
Brian Anderson,73.3,19.5,64.6,4.4,0.26,151.6,4
Hunter Dozier,70.2,21.3,79.4,4.1,0.251,158.2,4
Yandy Diaz,60.9,11.6,55.7,4.1,0.27399999999999997,173.6,2
J.D. Davis,58.7,20.8,66.1,2.7,0.263,173.6,2
Miguel Sano,83.1,36.7,93.2,1.4,0.24600000000000002,177.8,22
Gio Urshela,63.3,16.9,64.5,2.0,0.267,183.8,2
Kyle Seager,65.2,25.3,77.7,3.1,0.243,188.8,2
Scott Kingery,59.1,17.6,66.5,14.5,0.24,191.0,2
Evan Longoria,60.4,19.7,63.3,2.9,0.253,193.0,2
Tommy La Stella,60.5,13.5,51.2,2.1,0.275,194.0,2
Colin Moran,58.1,15.5,58.2,1.9,0.268,200.8,9
Maikel Franco,56.9,19.6,61.2,1.0,0.267,214.8,9
Matt Carpenter,63.2,19.8,58.5,4.4,0.237,226.2,9
Asdrubal Cabrera,42.0,11.2,42.5,1.7,0.266,250.6,13
Rio Ruiz,50.1,14.0,52.3,2.0,0.248,254.4,3
Joey Wendle,34.9,5.2,30.3,7.4,0.256,257.4,13
Jeimer Candelario,51.2,14.1,46.9,2.6,0.243,264.2,3
Travis Shaw,53.1,19.4,56.5,2.9,0.231,264.8,3
Todd Frazier,47.6,18.0,50.0,2.8,0.23600000000000002,272.0,3
Matt Duffy,28.2,4.2,24.3,2.7,0.275,282.8,5
Yairo Munoz,23.4,5.4,23.7,5.8,0.256,291.0,5
Dawel Lugo,26.0,5.1,26.2,2.4,0.26899999999999996,291.2,5
Marwin Gonzalez,31.9,8.2,31.6,1.2,0.26899999999999996,292.8,5
Jedd Gyorko,28.8,9.8,29.5,1.9,0.248,312.2,14
David Bote,30.6,8.4,31.9,3.2,0.24100000000000002,316.8,14
Jon Berti,23.2,4.3,19.8,10.0,0.242,322.4,24
Brandon Drury,35.9,9.3,34.1,1.4,0.24100000000000002,336.4,23
Ryon Healy,21.0,8.3,25.6,0.5,0.258,361.6,0
Brad Miller,24.2,8.1,24.8,1.9,0.239,362.4,0
Jake Lamb,27.3,8.6,28.4,1.6,0.233,370.0,0
Alec Bohm,13.4,4.3,15.4,1.0,0.266,375.0,0
Isiah Kiner-Falefa,19.4,2.4,14.7,2.7,0.249,376.4,0
Pablo Sandoval,19.2,6.5,20.5,0.8,0.25,382.4,0
Ty France,15.1,4.9,16.1,0.7,0.26,386.2,0
Neil Walker,21.9,5.9,20.5,0.8,0.242,404.6,15
Jung Ho Kang,17.8,6.8,19.9,0.9,0.237,420.0,15
Logan Forsythe,19.6,4.2,18.2,1.0,0.231,441.2,1
Sean Rodriguez,16.3,5.1,15.9,1.5,0.20800000000000002,450.2,1
Matt Thaiss,13.6,3.6,13.3,0.7,0.24100000000000002,453.4,1
Zack Cozart,13.4,3.2,12.1,0.6,0.244,455.4,1
Daniel Robertson,14.4,2.6,12.2,1.2,0.237,458.4,1
Tyler Nevin,6.5,1.4,6.4,0.5,0.282,458.8,1
Abraham Toro-Hernandez,8.6,2.0,8.1,0.6,0.253,469.8,25
Rylan Bannon,7.6,1.5,6.8,0.8,0.249,487.2,25
Yu-Cheng Chang,7.4,1.8,6.7,0.6,0.228,548.6,16
Nolan Jones,4.3,1.1,3.9,0.3,0.244,570.4,17
Cheslor Cuthbert,3.0,0.9,3.1,0.1,0.247,583.8,17
Jonathan India,3.2,0.8,3.1,0.4,0.23199999999999998,605.8,19
Sherten Apostel,4.8,1.2,4.5,0.3,0.20199999999999999,625.6,18
Josh Jung,2.5,0.5,2.3,0.3,0.2,648.8,18
