Name,R,HR,RBI,SB,AVG,Ovr,group
Jason Kipnis,33.8,8.8,36.2,3.6,0.248,281.6,11
Willi Castro,29.9,5.2,25.4,5.5,0.256,281.6,11
Franklin Barreto,40.5,11.0,35.0,5.9,0.23800000000000002,285.0,11
Wilmer Flores,29.6,9.5,33.2,0.8,0.281,288.4,11
Chris Taylor,35.0,7.8,34.8,4.5,0.243,290.0,11
Chris Taylor,35.0,7.8,34.8,4.5,0.243,290.0,11
Eduardo Nunez,20.6,5.1,23.6,4.0,0.26,301.0,3
Aledmys Diaz,26.5,7.0,26.0,1.6,0.261,310.4,3
Brian Dozier,32.2,11.6,35.2,3.4,0.23600000000000002,312.0,3
Enrique Hernandez,32.4,10.4,35.5,1.9,0.244,312.4,3
David Bote,30.6,8.4,31.9,3.2,0.24100000000000002,316.8,3
Joe Panik,25.0,4.3,21.3,2.0,0.265,318.4,3
Donovan Solano,25.3,3.4,22.0,1.5,0.276,320.6,3
Jon Berti,23.2,4.3,19.8,10.0,0.242,322.4,3
Michael Brosseau,24.7,6.9,25.0,2.2,0.251,324.4,3
Sheldon Neuse,26.8,5.7,25.7,1.6,0.256,326.6,3
Orlando Arcia,18.9,4.8,20.1,3.1,0.251,334.0,3
Adeiny Hechavarria,22.1,4.3,22.5,2.4,0.253,335.4,3
Adeiny Hechavarria,22.1,4.3,22.5,2.4,0.253,335.4,3
Chad Pinder,28.0,8.4,27.3,1.2,0.249,338.6,3
Yolmer Sanchez,22.1,3.0,21.1,3.2,0.249,344.4,12
Cole Tucker,18.6,3.3,18.2,5.3,0.248,345.0,12
Josh Harrison,18.7,4.4,19.8,2.9,0.245,356.4,12
Myles Straw,17.0,0.8,12.6,6.6,0.261,357.4,12
Jorge Mateo,22.8,3.7,19.4,7.2,0.233,361.0,12
Brock Holt,21.2,3.5,20.3,2.0,0.249,361.6,12
Brendan Rodgers,13.1,3.6,14.8,0.9,0.28,363.8,12
Jordy Mercer,24.9,5.4,23.0,0.9,0.252,368.0,12
Ildemaro Vargas,12.5,1.9,11.8,1.2,0.28,379.8,0
Ehire Adrianza,17.2,2.8,15.4,1.5,0.256,381.0,0
Wilmer Difo,15.7,2.3,14.8,3.4,0.24600000000000002,382.0,0
Thairo Estrada,13.8,3.1,13.2,1.9,0.253,383.2,0
Ty France,15.1,4.9,16.1,0.7,0.26,386.2,0
Tim Beckham,19.3,5.8,20.4,1.5,0.24100000000000002,389.4,0
Ronny Rodriguez,12.7,4.3,14.7,1.7,0.247,391.4,0
Ronny Rodriguez,12.7,4.3,14.7,1.7,0.247,391.4,0
Hernan Perez,12.0,3.3,13.0,2.4,0.248,393.2,0
Erik Gonzalez,14.1,2.9,16.0,2.9,0.243,393.2,0
Hernan Perez,12.0,3.3,13.0,2.4,0.248,393.2,0
Marco Hernandez,12.0,1.4,10.3,1.7,0.268,394.2,0
Greg Garcia,23.0,2.8,19.2,1.9,0.24100000000000002,397.6,0
Jed Lowrie,28.7,7.3,29.4,0.7,0.23600000000000002,398.0,0
Luis Rengifo,13.3,2.3,11.3,2.7,0.248,399.2,0
Harold Castro,11.5,1.6,10.6,1.6,0.264,401.0,0
Tyler Wade,15.4,2.1,13.0,4.2,0.23800000000000002,406.4,0
Daniel Descalso,24.6,5.3,22.6,1.9,0.21600000000000003,408.2,0
Kyle Farmer,16.8,4.0,18.0,2.0,0.23600000000000002,408.4,0
Isaac Paredes,12.1,2.4,10.8,0.8,0.265,414.4,0
Domingo Leyba,13.0,2.8,13.2,0.8,0.258,414.8,0
C.J. Chatham,9.6,1.1,8.4,1.0,0.273,429.0,4
Christian Arroyo,13.6,3.1,13.1,1.0,0.247,431.0,4
Richard Urena,14.7,2.5,13.0,1.2,0.242,438.4,4
Luis Guillorme,11.3,1.6,10.4,1.2,0.25,442.8,4
Santiago Espinal,8.9,1.2,7.8,1.5,0.253,445.4,4
Dylan Moore,11.2,2.7,10.1,3.9,0.222,446.0,4
Richie Martin,11.3,1.8,9.4,3.1,0.23399999999999999,447.4,4
Vimael Machin,14.7,1.7,12.5,1.1,0.245,448.6,4
Dustin Pedroia,8.9,1.4,8.0,0.7,0.265,453.6,4
Daniel Robertson,14.4,2.6,12.2,1.2,0.237,458.4,4
Addison Russell,9.0,2.4,9.2,0.6,0.25,466.6,4
Addison Russell,9.0,2.4,9.2,0.6,0.25,466.6,4
Chris Owings,6.8,1.5,7.0,1.6,0.247,470.8,4
Danny Mendick,7.5,1.6,6.8,1.4,0.244,476.6,4
Hanley Ramirez,10.3,3.5,10.5,0.6,0.24,477.4,4
Breyvic Valera,7.2,1.1,6.1,1.1,0.255,478.6,4
Andrew Velazquez,7.2,1.4,6.8,2.0,0.24,484.0,4
Nick Gordon,6.0,0.7,5.2,1.4,0.256,485.8,4
Jonathan Arauz,9.7,1.6,8.6,1.1,0.23600000000000002,499.4,5
Edmundo Sosa,6.5,1.4,6.2,0.6,0.253,502.0,5
Derek Dietrich,9.4,2.9,9.3,0.4,0.23800000000000002,504.2,5
Donnie Walton,6.1,0.9,5.3,1.1,0.25,505.8,5
Tzu-Wei Lin,7.0,0.7,5.7,1.2,0.247,507.0,5
Erick Mejia,5.9,0.6,5.2,1.7,0.243,513.4,5
Abiatal Avelino,5.5,1.1,5.6,1.5,0.243,514.2,5
Jake Cronenworth,5.1,0.7,4.6,1.0,0.253,518.6,5
Jack Mayfield,8.8,2.4,8.8,0.7,0.228,518.6,5
Sergio Alcantara,7.8,0.6,6.2,1.3,0.239,519.0,5
Eli White,7.3,1.2,6.4,1.4,0.23,526.0,5
Robel Garcia,7.9,3.1,8.5,0.6,0.222,527.2,14
Pat Valaika,7.6,2.4,7.6,0.5,0.226,537.6,14
Arquimedes Gamboa,7.4,0.9,6.4,2.0,0.191,540.0,14
Devon Travis,2.6,0.6,2.5,0.3,0.263,543.8,14
Andres Gimenez,4.8,0.9,4.6,2.0,0.228,549.2,14
Humberto Arteaga,2.3,0.2,2.0,0.4,0.257,559.4,15
Wander Franco,3.1,0.5,2.7,0.6,0.249,563.6,15
Lucius Fox,4.8,0.4,3.8,2.1,0.215,569.8,15
Gordon Beckham,5.7,1.2,5.3,0.6,0.231,573.2,15
