#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
384,Randy Rosario,KC,RP,L,15.0,0.0,0.0,65.8,15.0,0.7,0.7,0,1,4.54,4.13,1.48,11.3,6.6,15.7,0.6,7.5,8.1,2,50.4,28.9,20.7,0.303
385,Jandel Gustave,SF,RP,R,15.0,0.0,0.0,65.7,15.0,0.6,0.8,0,2,4.55,4.12,1.44,12.7,6.8,14.8,0.6,7.4,8.0,2,43.8,33.4,20.1,0.296
386,Luis Perdomo,SD,RP,R,15.0,0.0,0.0,64.5,15.0,0.7,0.7,0,2,4.10,3.63,1.34,12.1,4.5,15.5,0.6,6.8,7.4,2,51.1,25.9,20.3,0.307
387,Corey Knebel,MIL,RP,R,15.0,0.0,0.0,63.3,15.0,0.8,0.7,1,2,3.64,2.97,1.25,19.5,6.9,11.9,0.6,6.1,6.6,2,40.8,35.8,20.7,0.293
388,Ben Heller,NYY,RP,R,15.0,0.0,0.0,65.0,15.0,0.8,0.7,0,1,4.41,3.55,1.36,16.2,6.4,14.0,0.7,7.5,8.0,2,43.3,36.6,20.1,0.295
389,Wander Suero,WSH,RP,R,15.0,0.0,0.0,64.4,15.0,0.7,0.7,0,3,4.19,3.61,1.33,14.7,5.6,14.4,0.7,7.1,7.6,2,40.6,35.9,20.7,0.294
390,Daniel Mengden,OAK,SP,R,6.9,1.2,0.5,65.2,15.0,0.8,0.8,0,1,4.84,4.19,1.39,11.2,4.7,16.1,0.6,8.1,8.7,3,41.7,37.9,20.4,0.294
391,Stefan Crichton,ARI,RP,R,15.0,0.0,0.0,64.5,15.0,0.7,0.7,0,2,4.20,3.59,1.37,13.2,5.6,14.9,0.7,7.0,7.6,2,48.6,27.6,21.1,0.305
392,Taylor Guilbeau,SEA,RP,L,15.0,0.0,0.0,65.0,15.0,0.7,0.7,0,2,4.16,3.79,1.40,13.1,6.2,14.8,0.7,6.9,7.5,2,50.9,29.2,20.0,0.300
393,Trevor Megill,CHC,RP,R,15.0,0.0,0.0,64.3,15.0,0.8,0.7,0,1,4.05,3.50,1.33,15.5,6.3,13.7,0.6,6.8,7.4,2,43.0,33.6,20.7,0.294
394,Brusdar Graterol,LAD,RP,R,15.0,0.0,0.0,63.3,15.0,0.8,0.7,0,2,3.57,3.30,1.24,15.4,5.3,13.3,0.8,6.0,6.6,2,48.9,28.7,19.8,0.292
395,Rony Garcia,DET,RP,R,15.0,0.0,0.0,66.1,15.0,0.7,0.8,0,1,5.26,4.12,1.43,12.4,5.5,15.9,0.8,8.7,9.2,3,37.4,41.9,20.7,0.290
