#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
481,Tyler Lyons,NYY,RP,L,13.2,0.0,0.0,39.9,9.2,0.5,0.4,0,1,4.70,3.62,1.35,9.5,3.5,8.9,0.4,4.9,5.2,2,38.8,41.1,20.1,0.287
482,Tyler Olson,CHC,RP,L,13.2,0.0,0.0,40.0,9.2,0.5,0.4,0,1,4.34,3.87,1.39,8.7,3.9,8.9,0.4,4.5,4.8,1,43.1,36.3,20.7,0.292
483,Jerad Eickhoff,SD,SP,R,6.6,0.6,0.2,39.5,9.1,0.4,0.5,0,1,5.06,3.96,1.34,7.7,2.8,9.4,0.4,5.1,5.4,2,36.1,41.3,19.9,0.286
484,Evan Phillips,BAL,RP,R,11.4,0.0,0.0,40.1,9.1,0.4,0.5,0,2,4.66,3.85,1.46,9.6,4.9,8.5,0.5,4.6,5.0,1,44.7,34.8,20.6,0.295
485,Lewis Thorpe,MIN,SP,L,6.6,0.6,0.3,38.2,9.1,0.5,0.4,0,1,3.92,3.28,1.23,9.9,2.9,8.3,0.3,4.1,4.4,1,39.9,39.3,20.8,0.290
486,Tyler Kinley,COL,RP,R,11.4,0.0,0.0,41.5,9.1,0.4,0.5,0,1,5.36,4.48,1.61,8.4,5.5,9.2,0.3,5.5,5.8,2,39.3,36.0,22.0,0.300
487,Shelby Miller,MIL,SP,R,1.8,1.8,0.6,40.5,9.0,0.4,0.7,0,0,5.51,4.62,1.57,7.0,4.4,9.7,0.4,5.6,5.9,2,41.0,35.7,20.7,0.300
488,Trevor Rosenthal,KC,RP,R,9.0,0.0,0.0,39.7,9.0,0.4,0.4,0,1,4.36,3.92,1.48,10.0,5.5,7.7,0.5,4.3,4.7,1,43.4,35.9,20.7,0.294
489,Joe Biagini,HOU,RP,R,9.0,0.0,0.0,39.0,9.0,0.5,0.4,0,1,4.42,3.78,1.37,8.0,3.3,9.1,0.4,4.5,4.9,1,49.2,30.7,20.1,0.303
490,Dylan Floro,LAD,RP,R,9.0,0.0,0.0,38.7,9.0,0.5,0.4,0,1,4.03,3.81,1.33,7.2,2.9,9.1,0.3,4.1,4.5,1,49.8,27.7,19.8,0.296
491,Matt Bowman,CIN,RP,R,9.0,0.0,0.0,39.5,9.0,0.4,0.5,0,1,4.43,4.01,1.45,7.7,3.9,9.1,0.3,4.5,4.9,1,49.6,27.7,20.1,0.303
492,Jharel Cotton,CHC,RP,R,9.0,0.0,0.0,38.5,9.0,0.4,0.4,0,1,4.45,3.57,1.33,8.5,3.3,8.7,0.3,4.5,4.8,1,37.3,39.3,20.7,0.290
493,Jacob Rhame,LAA,RP,R,9.0,0.0,0.0,38.7,9.0,0.5,0.4,0,1,4.53,3.70,1.31,9.0,3.4,8.4,0.3,4.6,4.8,2,34.5,45.5,20.0,0.281
494,Jose De Leon,CIN,RP,R,9.0,0.0,0.0,39.0,9.0,0.4,0.4,0,1,4.27,3.48,1.36,10.3,4.3,7.9,0.5,4.3,4.6,1,39.5,37.7,20.1,0.292
495,Jonathan Holder,NYY,RP,R,9.0,0.0,0.0,38.7,9.0,0.5,0.4,0,1,4.62,3.60,1.31,8.9,2.9,8.9,0.4,4.7,5.0,2,37.9,42.1,20.1,0.289
496,J.P. Feyereisen,MIL,RP,R,9.0,0.0,0.0,39.4,9.0,0.4,0.4,0,1,4.46,3.83,1.42,9.8,4.9,8.0,0.3,4.5,4.8,1,38.5,38.1,20.7,0.286
497,Grant Holmes,OAK,RP,R,9.0,0.0,0.0,38.7,9.0,0.5,0.4,0,1,4.16,3.69,1.34,8.4,3.6,8.5,0.4,4.2,4.6,1,46.2,33.4,20.4,0.295
498,Blake Parker,PHI,RP,R,9.0,0.0,0.0,38.9,9.0,0.4,0.5,0,1,4.58,3.66,1.34,9.1,3.3,8.8,0.4,4.6,4.9,2,40.3,37.1,19.9,0.290
499,Philip Pfeifer,ATL,RP,L,9.0,0.0,0.0,39.6,9.0,0.4,0.4,0,1,4.40,4.01,1.42,8.8,4.1,8.6,0.4,4.4,4.8,1,40.3,36.0,21.0,0.292
500,Branden Kline,BAL,RP,R,9.0,0.0,0.0,39.5,9.0,0.4,0.5,0,1,5.02,3.94,1.47,8.3,4.2,9.0,0.3,4.9,5.3,2,42.6,36.8,20.6,0.295
501,Parker Markel,LAA,RP,R,9.0,0.0,0.0,39.2,9.0,0.5,0.4,0,1,4.09,3.64,1.36,10.8,4.6,7.6,0.5,4.1,4.4,1,40.5,39.5,20.0,0.288
502,Sam Selman,SF,RP,L,9.0,0.0,0.0,38.7,9.0,0.4,0.4,0,1,3.81,3.54,1.33,10.5,4.7,7.3,0.5,3.7,4.0,1,39.8,37.4,20.1,0.287
503,Luke Bard,LAA,RP,R,9.0,0.0,0.0,38.9,9.0,0.5,0.4,0,1,4.48,3.73,1.31,9.0,3.3,8.5,0.5,4.5,4.8,2,38.2,41.8,20.0,0.286
504,Enderson Franco,SF,RP,R,9.0,0.0,0.0,38.6,9.0,0.4,0.5,0,1,4.44,3.86,1.31,7.7,3.0,8.8,0.4,4.3,4.7,1,38.2,39.0,20.1,0.287
505,Kent Emanuel,HOU,RP,L,9.0,0.0,0.0,38.2,9.0,0.5,0.4,0,1,3.85,3.49,1.28,8.0,2.6,8.9,0.3,4.0,4.3,1,50.4,29.5,20.1,0.299
506,Taylor Williams,SEA,RP,R,9.0,0.0,0.0,39.2,9.0,0.4,0.5,0,1,4.47,3.88,1.41,8.4,4.0,8.7,0.4,4.4,4.8,1,45.7,34.4,20.0,0.296
507,Reggie McClain,PHI,RP,R,9.0,0.0,0.0,38.9,9.0,0.4,0.4,0,1,4.36,3.73,1.38,7.2,3.0,9.4,0.5,4.4,4.8,1,51.1,26.3,19.9,0.299
508,Yacksel Rios,PIT,RP,R,9.0,0.0,0.0,40.2,9.0,0.4,0.5,0,1,4.97,4.23,1.52,8.0,4.4,9.2,0.5,4.9,5.2,1,41.8,34.1,21.4,0.303
509,Josh D. Smith,CIN,RP,L,9.0,0.0,0.0,39.6,9.0,0.4,0.5,0,1,4.37,3.84,1.41,9.3,4.5,8.2,0.6,4.4,4.8,1,41.6,35.6,20.1,0.290
510,Cy Sneed,HOU,RP,R,9.0,0.0,0.0,38.5,9.0,0.5,0.4,0,1,4.31,3.66,1.30,8.5,3.1,8.7,0.3,4.4,4.7,1,43.5,36.5,20.1,0.291
511,Joel Payamps,ARI,RP,R,9.0,0.0,0.0,38.3,9.0,0.4,0.4,0,1,4.36,3.62,1.30,7.7,2.6,9.1,0.4,4.4,4.7,1,42.0,34.2,21.1,0.295
512,Ryne Harper,WSH,RP,R,9.0,0.0,0.0,38.5,9.0,0.4,0.4,0,1,4.16,3.65,1.31,8.2,2.8,9.0,0.3,4.2,4.5,1,43.6,32.9,20.7,0.296
513,Sam Howard,PIT,RP,L,9.0,0.0,0.0,39.1,9.0,0.4,0.5,0,1,4.30,3.80,1.38,8.7,3.7,8.7,0.4,4.2,4.6,1,40.9,35.0,21.4,0.298
514,Kyle Bird,TEX,RP,L,9.0,0.0,0.0,39.9,9.0,0.4,0.4,0,1,4.79,4.12,1.49,8.4,4.9,8.5,0.5,4.7,5.1,1,41.6,37.9,20.5,0.289
515,James Kaprielian,OAK,RP,R,9.0,0.0,0.0,38.8,9.0,0.5,0.4,0,1,4.56,3.70,1.33,8.4,3.2,8.7,0.4,4.6,4.9,1,37.5,42.1,20.4,0.289
516,Brooks Kriske,NYY,RP,R,9.0,0.0,0.0,40.1,9.0,0.4,0.4,0,1,5.11,4.05,1.47,9.1,4.4,8.8,0.4,5.2,5.5,2,38.5,41.5,20.1,0.291
517,Drew Smith,NYM,RP,R,9.0,0.0,0.0,39.1,9.0,0.4,0.5,0,1,4.59,3.84,1.38,8.3,3.5,8.9,0.4,4.6,4.9,1,40.5,36.7,20.2,0.294
518,Gerardo Reyes,SD,RP,R,9.0,0.0,0.0,38.9,9.0,0.4,0.4,0,1,4.12,3.61,1.34,9.9,4.4,7.7,0.5,4.1,4.4,1,39.6,37.4,20.3,0.289
519,Josh Sborz,LAD,RP,R,9.0,0.0,0.0,38.5,9.0,0.5,0.4,0,1,4.03,3.62,1.29,9.0,3.3,8.3,0.3,4.1,4.4,1,42.3,35.3,19.8,0.288
520,Josh Staumont,KC,RP,R,9.0,0.0,0.0,39.9,9.0,0.4,0.4,0,1,4.46,3.96,1.47,10.4,5.5,7.7,0.4,4.4,4.7,1,40.2,39.1,20.7,0.292
521,Patrick Weigel,ATL,RP,R,9.0,0.0,0.0,39.5,9.0,0.4,0.4,0,1,4.55,3.95,1.39,8.7,3.8,8.7,0.5,4.6,4.9,1,39.3,37.0,21.0,0.290
522,Angel Perdomo,MIL,RP,L,9.0,0.0,0.0,40.1,9.0,0.4,0.5,0,1,4.60,4.10,1.50,9.6,5.4,8.1,0.5,4.6,5.0,1,39.3,37.3,20.7,0.289
523,Jesus Tinoco,COL,RP,R,9.0,0.0,0.0,40.4,9.0,0.4,0.5,0,1,5.56,4.39,1.57,6.7,4.1,10.0,0.3,5.6,6.0,2,40.7,34.6,22.0,0.303
524,Jake Newberry,KC,RP,R,9.0,0.0,0.0,40.1,9.0,0.4,0.5,0,1,5.13,4.38,1.49,7.9,4.3,9.1,0.3,5.1,5.4,2,37.9,41.4,20.7,0.289
525,James Bourque,WSH,RP,R,9.0,0.0,0.0,39.7,9.0,0.4,0.4,0,1,4.25,4.02,1.45,9.0,4.7,8.4,0.4,4.3,4.7,1,46.2,30.4,20.7,0.297
526,Kyle Finnegan,WSH,RP,R,9.0,0.0,0.0,39.0,9.0,0.4,0.4,0,1,4.08,3.76,1.39,8.9,4.0,8.5,0.3,4.1,4.5,1,46.6,30.0,20.7,0.299
527,Tyler Bashlor,NYM,RP,R,9.0,0.0,0.0,40.1,9.0,0.4,0.5,0,1,5.14,4.19,1.49,8.7,4.6,8.8,0.4,5.1,5.4,2,34.4,42.7,20.2,0.288
528,Ben Bowden,COL,RP,L,9.0,0.0,0.0,39.8,9.0,0.4,0.4,0,1,4.72,3.88,1.47,9.4,4.7,8.5,0.3,4.8,5.1,1,37.7,37.6,22.0,0.297
529,Zack Burdi,CHW,RP,R,9.0,0.0,0.0,40.0,9.0,0.4,0.4,0,1,4.80,4.05,1.47,9.4,4.8,8.5,0.4,4.8,5.1,1,41.8,38.1,20.1,0.294
530,Jon Duplantier,ARI,RP,R,4.5,0.0,0.0,39.2,9.0,0.4,0.4,0,0,4.23,3.74,1.41,9.0,4.4,8.4,0.5,4.2,4.6,1,45.5,30.7,21.1,0.301
531,Matt Foster,CHW,RP,R,9.0,0.0,0.0,39.2,9.0,0.5,0.4,0,1,4.66,3.84,1.38,9.1,3.9,8.6,0.3,4.7,5.0,2,40.7,39.2,20.1,0.290
532,Ryan Hendrix,CIN,RP,R,9.0,0.0,0.0,39.8,9.0,0.4,0.5,0,1,4.43,3.95,1.47,9.2,4.9,8.4,0.4,4.5,4.8,1,45.7,31.6,20.1,0.299
533,Daulton Jefferies,OAK,RP,R,9.0,0.0,0.0,37.7,9.0,0.5,0.4,0,1,3.92,3.24,1.21,8.9,2.5,8.4,0.4,4.0,4.3,1,42.3,37.3,20.4,0.291
534,Scott Moss,CLE,RP,L,9.0,0.0,0.0,39.3,9.0,0.5,0.4,0,1,4.39,3.88,1.36,9.3,3.9,8.3,0.4,4.5,4.8,1,38.0,41.3,20.7,0.285
535,Mike Shawaryn,BOS,RP,R,9.0,0.0,0.0,39.6,9.0,0.5,0.4,0,1,4.73,4.06,1.39,8.5,3.5,8.9,0.5,4.8,5.2,2,39.2,39.6,21.2,0.289
536,Gabe Speier,KC,RP,L,9.0,0.0,0.0,39.6,9.0,0.4,0.4,0,1,4.65,4.16,1.46,8.0,4.2,8.9,0.4,4.6,5.0,1,43.0,36.3,20.7,0.294
537,Cole Sulser,BAL,RP,R,9.0,0.0,0.0,38.6,9.0,0.4,0.4,0,1,4.42,3.41,1.34,10.0,3.9,8.2,0.4,4.4,4.6,2,39.7,39.7,20.6,0.290
538,Blake Taylor,HOU,RP,L,9.0,0.0,0.0,40.1,9.0,0.5,0.4,0,1,4.42,4.28,1.50,8.4,4.9,8.6,0.4,4.5,4.9,1,48.5,31.4,20.1,0.297
539,Devin Williams,MIL,RP,R,9.0,0.0,0.0,39.9,9.0,0.4,0.5,0,1,4.65,4.00,1.49,9.1,4.9,8.5,0.4,4.7,5.0,1,42.7,34.0,20.7,0.297
540,Eric Yardley,MIL,RP,R,9.0,0.0,0.0,39.4,9.0,0.4,0.4,0,1,4.36,3.89,1.45,5.9,3.2,9.9,0.4,4.4,4.8,1,55.9,20.8,20.7,0.309
541,Franklyn Kilome,NYM,RP,R,9.0,0.0,0.0,39.7,9.0,1.4,2.3,0,0,4.68,4.09,1.44,8.1,4.1,9.0,0.4,4.7,5.0,1,42.9,34.2,20.2,0.295
542,Bo Takahashi,ARI,RP,R,9.0,0.0,0.0,39.2,9.0,1.4,2.3,0,0,4.74,3.82,1.36,8.0,3.2,9.1,0.5,4.7,5.0,1,37.9,38.3,21.1,0.293
543,Jose Quijada,LAA,RP,L,9.0,0.0,0.0,39.2,9.0,0.5,0.4,0,1,4.20,3.72,1.37,10.2,4.7,7.6,0.4,4.2,4.5,1,38.4,41.6,20.0,0.281
544,Edgar Santana,PIT,RP,R,9.0,0.0,0.0,39.0,9.0,0.4,0.5,0,1,4.49,3.81,1.37,7.9,3.0,9.3,0.4,4.4,4.8,1,42.8,33.2,21.4,0.304
545,Manuel Rodriguez,CHC,RP,R,9.0,0.0,0.0,42.1,9.0,0.4,0.5,0,1,5.45,5.14,1.76,7.5,6.7,9.1,0.4,5.5,5.9,1,45.1,31.5,20.7,0.300
546,Jordan Holloway,MIA,RP,R,9.0,0.0,0.0,42.1,9.0,0.3,0.5,0,1,5.36,5.27,1.76,7.1,6.6,9.2,0.4,5.3,5.7,1,47.0,30.4,19.9,0.299
547,James Norwood,CHC,RP,R,9.0,0.0,0.0,39.7,9.0,0.4,0.4,0,1,4.58,3.91,1.47,9.4,5.1,8.2,0.4,4.6,5.0,1,38.6,38.0,20.7,0.293
548,Chad Sobotka,ATL,RP,R,9.0,0.0,0.0,39.2,9.0,0.4,0.4,0,1,4.13,3.66,1.38,10.1,4.4,8.0,0.5,4.2,4.5,1,42.7,33.6,21.0,0.296
549,Austen Williams,WSH,RP,R,9.0,0.0,0.0,39.0,9.0,0.4,0.4,0,1,4.40,3.80,1.37,8.2,3.3,9.1,0.4,4.4,4.8,1,43.2,33.3,20.7,0.298
550,Julian Merryweather,TOR,RP,R,9.0,0.0,0.0,38.4,9.0,0.5,0.4,0,1,4.26,3.43,1.28,9.0,2.8,8.8,0.4,4.3,4.6,1,44.6,35.0,20.4,0.297
551,Yennsy Diaz,TOR,RP,R,9.0,0.0,0.0,40.0,9.0,0.4,0.5,0,1,5.29,4.33,1.46,7.5,3.7,9.4,0.4,5.3,5.6,2,38.8,40.7,20.4,0.288
552,Huascar Ynoa,ATL,RP,R,9.0,0.0,0.0,39.0,9.0,0.4,0.4,0,1,4.07,3.68,1.37,9.6,3.9,8.4,0.4,4.1,4.4,1,44.7,31.6,21.0,0.299
553,Jose Suarez,LAA,SP,L,3.6,0.6,0.2,38.8,9.0,0.9,0.9,0,0,4.28,3.76,1.32,8.9,3.5,8.4,0.5,4.3,4.6,1,41.5,38.4,20.0,0.287
554,Jorge Alcala,MIN,RP,R,9.0,0.0,0.0,39.7,9.0,0.5,0.4,0,1,4.85,4.09,1.43,8.3,3.8,9.0,0.4,5.0,5.3,2,39.5,39.7,20.8,0.291
555,Alvaro Seijas,STL,RP,R,9.0,0.0,0.0,41.8,9.0,0.8,2.9,0,0,5.75,5.29,1.71,5.5,5.3,10.0,0.5,5.8,6.2,1,42.4,34.3,20.6,0.293
556,Melvin Adon,SF,RP,R,9.0,0.0,0.0,39.7,9.0,0.4,0.5,0,1,4.27,4.15,1.48,8.0,4.8,8.5,0.4,4.2,4.6,1,49.7,27.5,20.1,0.299
557,Demarcus Evans,TEX,RP,R,9.0,0.0,0.0,40.2,9.0,0.4,0.4,0,1,4.53,4.03,1.52,10.6,6.2,7.5,0.4,4.5,4.8,1,39.9,39.6,20.5,0.291
558,Richard Lovelady,KC,RP,L,9.0,0.0,0.0,38.6,9.0,0.5,0.4,0,1,4.06,3.66,1.36,8.4,3.6,8.6,0.4,4.0,4.4,1,48.5,30.8,20.7,0.299
559,Travis Lakins,BAL,RP,R,9.0,0.0,0.0,39.9,9.0,0.4,0.5,0,1,5.14,4.22,1.51,7.8,4.3,9.2,0.4,5.1,5.4,2,43.3,36.1,20.6,0.293
560,Cody Ponce,PIT,RP,R,9.0,0.0,0.0,39.1,9.0,0.4,0.5,0,1,4.48,3.88,1.38,7.7,3.2,9.3,0.5,4.4,4.8,1,43.9,32.0,21.4,0.302
561,Garrett Cleavinger,PHI,RP,L,9.0,0.0,0.0,40.2,9.0,0.4,0.4,0,1,4.38,4.16,1.50,9.7,5.4,8.1,0.5,4.4,4.8,1,45.7,31.7,19.9,0.292
562,Geoff Hartlieb,PIT,RP,R,9.0,0.0,0.0,38.9,9.0,0.4,0.5,0,1,4.08,3.63,1.42,8.6,4.0,8.7,0.3,4.0,4.4,1,49.7,26.3,21.4,0.310
563,Kyle Keller,LAA,RP,R,9.0,0.0,0.0,38.8,9.0,0.5,0.4,0,1,4.17,3.65,1.32,9.8,4.0,7.9,0.4,4.2,4.5,1,39.9,40.1,20.0,0.284
564,Blake Cederlind,PIT,RP,R,9.0,0.0,0.0,41.1,9.0,0.4,0.5,0,1,5.17,4.65,1.61,7.4,5.1,9.4,0.5,5.1,5.5,1,44.2,31.8,21.4,0.304
565,Trevor Kelley,PHI,RP,R,9.0,0.0,0.0,40.4,9.0,0.4,0.4,0,1,5.58,4.54,1.50,6.9,3.7,9.8,0.4,5.6,5.9,2,34.8,44.0,21.2,0.288
566,Zac Grotz,SEA,RP,R,9.0,0.0,0.0,38.2,9.0,0.4,0.4,0,1,3.87,3.36,1.28,8.4,2.8,8.7,0.4,3.8,4.2,1,51.4,28.6,20.0,0.300
567,Jeremy Walker,ATL,RP,R,9.0,0.0,0.0,38.9,9.0,0.4,0.4,0,1,4.32,3.86,1.37,6.7,2.7,9.7,0.4,4.3,4.7,1,49.1,27.2,21.0,0.302
568,Joel Kuhnel,CIN,RP,R,9.0,0.0,0.0,39.2,9.0,0.4,0.5,0,1,4.57,3.88,1.41,7.8,3.6,9.1,0.4,4.6,5.0,1,45.2,32.1,20.1,0.298
569,Matt Festa,SEA,RP,R,9.0,0.0,0.0,39.2,9.0,0.4,0.5,0,1,4.64,3.92,1.39,8.3,3.8,8.7,0.4,4.6,4.9,2,41.2,38.8,20.0,0.288
570,David Bednar,SD,RP,R,9.0,0.0,0.0,38.8,9.0,0.4,0.4,0,1,4.06,3.66,1.33,9.3,4.0,8.0,0.4,4.0,4.4,1,42.9,34.1,20.3,0.291
571,Phillip Diehl,COL,RP,L,9.0,0.0,0.0,39.8,9.0,0.4,0.5,0,1,4.89,3.99,1.47,8.1,4.0,9.2,0.4,4.9,5.3,2,39.5,35.8,22.0,0.301
572,JD Hammer,PHI,RP,R,9.0,0.0,0.0,40.1,9.0,0.4,0.5,0,1,4.95,4.24,1.49,8.4,4.5,9.0,0.4,5.0,5.3,2,41.4,36.0,19.9,0.290
573,Elvis Luciano,TOR,RP,R,9.0,0.0,0.0,40.7,9.0,0.4,0.5,0,1,5.30,4.50,1.54,7.7,4.4,9.5,0.5,5.3,5.7,2,43.7,35.8,20.4,0.299
574,Michel Baez,SD,RP,R,9.0,0.0,0.0,39.0,9.0,0.4,0.5,0,1,4.31,3.77,1.34,9.0,3.8,8.2,0.4,4.3,4.6,1,38.5,38.4,20.3,0.287
575,Deolis Guerra,PHI,RP,R,9.0,0.0,0.0,38.0,9.0,0.4,0.4,0,1,4.05,3.27,1.25,9.6,2.8,8.4,0.3,4.1,4.4,1,42.3,35.1,19.9,0.289
576,Adbert Alzolay,CHC,SP,R,3.0,1.2,0.5,39.0,8.9,0.5,0.5,0,0,4.78,4.04,1.41,8.7,4.0,8.5,0.4,4.8,5.1,1,35.9,40.7,20.7,0.286
577,Tarik Skubal,DET,SP,L,1.5,1.5,0.7,37.2,8.6,0.5,0.5,0,0,4.61,3.88,1.37,8.5,3.4,8.4,0.4,4.4,4.7,1,40.7,38.6,20.7,0.293
578,Luis Avilan,NYY,RP,L,12.0,0.0,0.0,37.2,8.4,0.4,0.4,0,2,4.71,4.06,1.44,7.9,3.6,8.5,0.4,4.4,4.8,1,44.0,35.9,20.1,0.297
579,Michael Pineda,MIN,SP,R,1.5,1.5,0.7,35.7,8.4,0.6,0.4,0,0,4.50,3.62,1.28,7.8,2.0,8.7,0.3,4.3,4.6,1,42.1,37.1,20.8,0.300
580,Dylan Covey,TB,SP,R,3.6,0.6,0.2,36.5,8.4,0.4,0.4,0,0,4.62,3.84,1.39,7.1,2.7,8.9,0.3,4.3,4.7,1,49.4,30.5,20.1,0.304
581,Touki Toussaint,ATL,RP,R,4.8,0.3,0.1,36.4,8.3,0.4,0.4,0,1,4.28,3.91,1.40,8.7,3.9,7.7,0.5,4.0,4.3,1,42.6,33.7,21.0,0.294
582,Forrest Whitley,HOU,SP,R,1.6,1.6,0.7,36.8,8.3,0.6,0.5,0,0,4.78,4.23,1.44,8.7,4.3,7.7,0.4,4.5,4.8,1,41.0,38.9,20.1,0.290
583,Cody Allen,TEX,RP,R,9.0,0.0,0.0,35.7,8.1,0.4,0.4,0,1,4.94,3.91,1.43,8.3,3.9,7.7,0.3,4.4,4.7,1,33.9,45.6,20.5,0.287
584,Stephen Tarpley,MIA,RP,L,9.0,0.0,0.0,35.1,8.1,0.4,0.4,0,1,3.68,3.71,1.40,7.9,3.9,7.4,0.4,3.3,3.6,1,52.7,24.7,19.9,0.301
585,Reyes Moronta,SF,RP,R,9.0,0.0,0.0,34.9,8.1,0.4,0.4,0,2,4.05,3.59,1.36,9.2,4.3,6.7,0.3,3.6,3.8,1,38.0,39.1,20.1,0.287
586,Drew Steckenrider,MIA,RP,R,9.0,0.0,0.0,34.9,8.1,0.4,0.4,0,1,4.28,3.65,1.34,8.5,3.4,7.5,0.3,3.8,4.1,1,36.8,40.6,19.9,0.288
587,A.J. Minter,ATL,RP,L,9.0,0.0,0.0,34.6,8.1,0.4,0.4,0,1,3.93,3.44,1.31,9.1,3.4,7.2,0.3,3.6,3.8,1,39.1,37.1,21.0,0.292
588,Brandon Morrow,CHC,RP,R,9.0,0.0,0.0,34.3,8.1,0.4,0.4,0,1,3.83,3.36,1.28,8.3,2.9,7.5,0.3,3.5,3.8,1,44.6,32.0,20.7,0.297
589,Aaron Loup,TB,RP,L,11.4,0.0,0.0,34.4,8.0,0.4,0.4,0,2,3.84,3.55,1.31,8.1,3.1,7.4,0.5,3.5,3.8,1,48.4,31.1,20.5,0.297
590,James Hoyt,CLE,RP,R,11.4,0.0,0.0,34.4,8.0,0.4,0.4,0,1,4.13,3.54,1.32,8.4,3.0,7.5,0.4,3.8,4.0,1,45.8,33.5,20.7,0.297
591,Dovydas Neverauskas,PIT,RP,R,11.4,0.0,0.0,34.9,8.0,0.4,0.4,0,1,4.44,3.76,1.43,8.3,3.9,7.6,0.3,3.9,4.2,1,41.3,34.6,21.4,0.302
592,Genesis Cabrera,STL,RP,L,7.9,0.0,0.0,33.9,7.9,0.4,0.4,0,1,4.08,3.63,1.33,8.0,3.4,7.1,0.3,3.6,3.9,1,37.8,38.9,20.6,0.285
593,Chi Chi Gonzalez,COL,SP,R,3.0,1.2,0.4,35.1,7.8,0.4,0.5,0,0,5.41,4.48,1.57,5.7,3.4,8.8,0.3,4.7,5.1,1,45.7,29.6,22.0,0.311
594,Edward Cabrera,MIA,SP,R,1.5,1.5,0.6,34.6,7.8,0.4,0.6,0,0,4.84,4.50,1.49,6.3,3.6,8.1,0.4,4.1,4.5,1,45.9,31.5,19.9,0.298
595,Luis Patino,SD,SP,R,1.5,1.5,0.6,34.4,7.8,0.4,0.5,0,0,4.82,4.35,1.43,6.9,3.6,7.6,0.3,4.2,4.4,1,40.2,36.8,20.3,0.289
596,Austin Gomber,STL,SP,L,3.9,0.9,0.4,33.2,7.7,0.4,0.5,0,0,4.28,3.92,1.36,7.0,3.1,7.4,0.3,3.7,3.9,1,39.9,36.8,20.6,0.289
597,Shaun Anderson,SF,SP,R,5.1,0.6,0.3,32.6,7.6,0.4,0.4,0,1,4.33,4.00,1.35,5.9,2.6,7.7,0.3,3.6,3.9,1,45.0,32.2,20.1,0.294
598,Kyle McGowin,WSH,SP,R,3.0,1.2,0.5,32.7,7.6,0.5,0.5,0,0,4.39,3.86,1.33,6.9,2.5,7.6,0.3,3.8,4.0,1,42.8,33.8,20.7,0.294
599,Dillon Peters,LAA,SP,L,3.6,0.6,0.2,32.4,7.5,0.4,0.4,0,0,4.42,3.98,1.35,6.1,2.4,7.7,0.3,3.7,4.0,1,45.1,34.9,20.0,0.293
600,Brett Cecil,STL,RP,L,9.0,0.0,0.0,31.6,7.2,0.3,0.4,0,1,4.79,4.25,1.47,5.3,3.0,7.6,0.3,3.8,4.1,1,41.6,35.0,20.6,0.295
601,Jason Adam,CHC,RP,R,7.2,0.0,0.0,31.5,7.2,0.3,0.4,0,1,4.73,3.79,1.40,7.4,3.5,6.6,0.4,3.8,4.1,1,32.5,44.1,20.7,0.283
602,Bobby Wahl,MIL,RP,R,9.0,0.0,0.0,30.9,7.2,0.4,0.3,0,1,4.13,3.32,1.33,8.5,3.4,6.2,0.3,3.3,3.6,1,38.5,38.1,20.7,0.292
603,Ian Hamilton,CHW,RP,R,9.0,0.0,0.0,30.9,7.2,0.4,0.3,0,1,4.20,3.52,1.32,7.4,2.7,6.8,0.3,3.4,3.6,1,46.3,33.6,20.1,0.296
604,CD Pelham,CHC,RP,L,9.0,0.0,0.0,33.0,7.2,0.3,0.4,0,1,4.80,4.71,1.65,6.7,5.0,6.9,0.4,3.9,4.2,1,45.9,30.7,20.7,0.298
605,Trevor Hildenberger,BOS,RP,R,7.2,0.0,0.0,31.6,7.2,0.4,0.3,0,1,4.78,4.06,1.42,5.7,2.4,7.8,0.4,3.9,4.2,1,47.7,31.5,20.8,0.302
606,Alex Vesia,MIA,RP,L,7.2,0.0,0.0,31.1,7.2,0.3,0.4,0,1,4.15,3.76,1.36,7.2,3.1,6.7,0.3,3.3,3.5,1,40.1,37.3,19.9,0.291
607,Luis Garcia,TEX,RP,R,9.0,0.0,0.0,31.1,7.2,0.4,0.3,1,1,4.28,3.61,1.39,6.9,3.2,6.8,0.3,3.4,3.7,1,47.9,31.6,20.5,0.300
608,Joely Rodriguez,TEX,RP,L,6.7,0.0,0.0,29.4,6.7,0.3,0.3,0,1,4.39,3.96,1.47,5.8,3.2,6.6,0.3,3.2,3.5,1,49.9,29.6,20.5,0.302
609,Walker Lockett,NYM,SP,R,4.2,0.6,0.2,28.9,6.7,0.3,0.4,0,0,4.56,3.97,1.36,5.1,1.8,7.3,0.3,3.4,3.7,1,46.8,30.4,20.2,0.300
610,JT Brubaker,PIT,SP,R,2.5,1.0,0.4,29.3,6.7,0.3,0.4,0,0,4.61,4.11,1.42,5.3,2.4,7.1,0.4,3.4,3.7,1,47.6,28.3,21.4,0.306
611,Donnie Hart,OAK,RP,L,7.2,0.0,0.0,28.6,6.5,0.3,0.3,0,1,4.44,4.21,1.47,4.6,2.6,7.0,0.2,3.2,3.5,1,50.0,27.2,20.2,0.304
